sector,entityid,entityName,plantName,plantid,balancing_authority_code,balancing.authority.name,status,county,nameplate.capacity.mw,operating.year.month,geometry,intersection,geoid
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
